id_division;division
NULL;Alimentos y bebidas no alcoholicas
NULL;Bebidas alcoholicas y tabaco
NULL;Prendas de vestir y calzado
NULL;Vivienda. agua. electricidad y otros combustibles
NULL;Equipamiento y mantenimiento del hogar
NULL;Salud
NULL;Transporte
NULL;Comunicacion
NULL;Recreacion y cultura
NULL;Educacion
NULL;Restaurantes y hoteles
NULL;Bienes y servicios varios
