id_ipc_division;valor_ipc_division;id_division;id_periodo;id_region
NULL;2;10;36;1
NULL;0.5;10;37;1
NULL;1.4;10;38;1
NULL;17.5;10;39;1
NULL;-1.5;10;40;1
NULL;-0.4;10;41;1
NULL;0.4;10;42;1
NULL;0.1;10;43;1
NULL;0.8;10;44;1
NULL;0.3;10;45;1
NULL;0.1;10;46;1
NULL;0.4;10;47;1
NULL;0;10;48;1
NULL;0.6;10;49;1
NULL;0.1;10;50;1
NULL;28.5;10;51;1
NULL;2.5;10;52;1
NULL;2.3;10;53;1
NULL;1.1;10;54;1
NULL;2.5;10;55;1
NULL;4.2;10;56;1
NULL;3.1;10;57;1
NULL;1.4;10;58;1
NULL;0.8;10;59;1
NULL;1;10;60;1
NULL;0.8;10;61;1
NULL;2.6;10;62;1
NULL;23.6;10;63;1
NULL;3.7;10;64;1
NULL;3.2;10;65;1
NULL;1.3;1;1;2
NULL;1.8;1;2;2
NULL;3.5;1;3;2
NULL;2.3;1;4;2
NULL;1.1;1;5;2
NULL;1.3;1;6;2
NULL;1.2;1;7;2
NULL;2.2;1;8;2
NULL;1.9;1;9;2
NULL;1.5;1;10;2
NULL;1;1;11;2
NULL;0.5;1;12;2
NULL;2.6;1;13;2
NULL;2.4;1;14;2
NULL;2;1;15;2
NULL;0.8;1;16;2
NULL;3.7;1;17;2
NULL;4.7;1;18;2
NULL;4;1;19;2
NULL;3.5;1;20;2
NULL;7.3;1;21;2
NULL;6.1;1;22;2
NULL;3.1;1;23;2
NULL;1.6;1;24;2
NULL;3.8;1;25;2
NULL;5.5;1;26;2
NULL;5.8;1;27;2
NULL;2;1;28;2
NULL;2.6;1;29;2
NULL;2.7;1;30;2
NULL;2.5;1;31;2
NULL;4.3;1;32;2
NULL;5.7;1;33;2
NULL;2.5;1;34;2
NULL;5.7;1;35;2
NULL;2.8;1;36;2
NULL;4.6;1;37;2
NULL;2.4;1;38;2
NULL;3.8;1;39;2
NULL;3.2;1;40;2
NULL;0.3;1;41;2
NULL;1.2;1;42;2
NULL;1.3;1;43;2
NULL;3.7;1;44;2
NULL;2.8;1;45;2
NULL;4.8;1;46;2
NULL;2.1;1;47;2
NULL;2.8;1;48;2
NULL;4;1;49;2
NULL;4;1;50;2
NULL;4.9;1;51;2
NULL;4.7;1;52;2
NULL;3.1;1;53;2
NULL;3.4;1;54;2
NULL;3.6;1;55;2
NULL;1.4;1;56;2
NULL;3.3;1;57;2
NULL;3.6;1;58;2
NULL;1.8;1;59;2
NULL;3.9;1;60;2
NULL;5.2;1;61;2
NULL;8.6;1;62;2
NULL;6.1;1;63;2
NULL;5.9;1;64;2
NULL;4.4;1;65;2
NULL;0.5;2;1;2
NULL;5;2;2;2
NULL;1.5;2;3;2
NULL;2.3;2;4;2
NULL;1.9;2;5;2
NULL;0.5;2;6;2
NULL;3.4;2;7;2
NULL;1.3;2;8;2
NULL;0.7;2;9;2
NULL;3.2;2;10;2
NULL;1.1;2;11;2
NULL;0.6;2;12;2
NULL;2.1;2;13;2
NULL;1.7;2;14;2
NULL;0.7;2;15;2
NULL;1.1;2;16;2
NULL;1.4;2;17;2
NULL;1.1;2;18;2
NULL;2.6;2;19;2
NULL;1.1;2;20;2
NULL;4.4;2;21;2
NULL;2.5;2;22;2
NULL;4.9;2;23;2
NULL;1.3;2;24;2
NULL;3.8;2;25;2
NULL;2.3;2;26;2
NULL;4.1;2;27;2
NULL;1.1;2;28;2
NULL;2.1;2;29;2
NULL;2.8;2;30;2
NULL;1.2;2;31;2
NULL;4.4;2;32;2
NULL;5.9;2;33;2
NULL;6.4;2;34;2
NULL;5.4;2;35;2
NULL;3.1;2;36;2
NULL;4.5;2;37;2
NULL;1.2;2;38;2
NULL;3.2;2;39;2
NULL;1;2;40;2
NULL;0;2;41;2
NULL;3.7;2;42;2
NULL;1.6;2;43;2
NULL;1.5;2;44;2
NULL;4.5;2;45;2
NULL;2.1;2;46;2
NULL;2.4;2;47;2
NULL;2.8;2;48;2
NULL;4.1;2;49;2
NULL;3.6;2;50;2
NULL;6.3;2;51;2
NULL;3.8;2;52;2
NULL;1.1;2;53;2
NULL;5.7;2;54;2
NULL;3.5;2;55;2
NULL;1.8;2;56;2
NULL;6.2;2;57;2
NULL;1.4;2;58;2
NULL;0.9;2;59;2
NULL;5.2;2;60;2
NULL;1.6;2;61;2
NULL;2.7;2;62;2
NULL;6;2;63;2
NULL;3.4;2;64;2
NULL;5.5;2;65;2
NULL;-2.1;3;1;2
NULL;-0.5;3;2;2
NULL;4.8;3;3;2
NULL;5.1;3;4;2
NULL;0.6;3;5;2
NULL;0.6;3;6;2
NULL;-1.8;3;7;2
NULL;-0.9;3;8;2
NULL;5.9;3;9;2
NULL;1.6;3;10;2
NULL;1.1;3;11;2
NULL;0.7;3;12;2
NULL;-1.8;3;13;2
NULL;-0.6;3;14;2
NULL;6.8;3;15;2
NULL;3.3;3;16;2
NULL;1.7;3;17;2
NULL;2.1;3;18;2
NULL;-0.7;3;19;2
NULL;0.8;3;20;2
NULL;13.1;3;21;2
NULL;4.9;3;22;2
NULL;1.7;3;23;2
NULL;0.4;3;24;2
NULL;-0.9;3;25;2
NULL;1;3;26;2
NULL;8.4;3;27;2
NULL;6.2;3;28;2
NULL;2.5;3;29;2
NULL;1.3;3;30;2
NULL;0;3;31;2
NULL;3.1;3;32;2
NULL;11.7;3;33;2
NULL;4.6;3;34;2
NULL;4.1;3;35;2
NULL;2;3;36;2
NULL;0.6;3;37;2
NULL;2.3;3;38;2
NULL;4.1;3;39;2
NULL;1.4;3;40;2
NULL;10.1;3;41;2
NULL;5.2;3;42;2
NULL;1.4;3;43;2
NULL;2.6;3;44;2
NULL;7.5;3;45;2
NULL;6.2;3;46;2
NULL;3;3;47;2
NULL;4;3;48;2
NULL;0.1;3;49;2
NULL;2.3;3;50;2
NULL;16.2;3;51;2
NULL;4.9;3;52;2
NULL;0.2;3;53;2
NULL;3.9;3;54;2
NULL;0.6;3;55;2
NULL;3.9;3;56;2
NULL;6.7;3;57;2
NULL;5.8;3;58;2
